
--- Fetching tournaments for region: EU ---
Found 30 mobile-related tournaments in EU.
--- Fetching tournaments for region: NAW ---
Found 29 mobile-related tournaments in NAW.
ID: epicgames_S37_BlitzMobileCup_NAW | Title: Blitz Mobile Cup | Regions: NAW
ID: epicgames_S37_BlitzMobileCupWeekly_NAW | Title: Blitz Mobile Cup | Regions: NAW
ID: epicgames_S37_AxeOfChampsBlitzMobileCup_NAW | Title: Axe of Champions Blitz Cup (Mobile) | Regions: NAW
ID: epicgames_S37_SurfWitchBlitzMobileCup_NAW | Title: Champion Surf Witch FNCS Blitz Cup (Mobile) | Regions: NAW
ID: epicgames_S38_TouchOnlyMobileCup_NAW | Title: Touch-Only Test Cup | Regions: NAW
ID: epicgames_S38_BlitzMobileCup_NAW | Title: Blitz Mobile Cup | Regions: NAW
ID: epicgames_S38_StrangerThingsMobileCup_NAC | Title: Stranger Things Cup Blitz (Mobile) | Regions: NAC
ID: epicgames_S39_BlitzMobileCupDec_NAW | Title: Mobile Series | Regions: NAW
ID: epicgames_S39_BlitzMobileCupDecQual_NAW | Title: Mobile Series | Regions: NAW
ID: epicgames_S39_MobileSeriesJan_NAW | Title: Mobile Series | Regions: NAW
ID: epicgames_S39_MobileSeriesCupJanQual_NAW | Title: Mobile Series | Regions: NAW
ID: epicgames_S39_MobileSeriesFeb_NAW | Title: Mobile Series | Regions: NAW
ID: epicgames_S39_MobileSeriesCupFebQual_NAW | Title: Mobile Series | Regions: NAW
ID: epicgames_S39_SoloLevelingMobileCup_NAW | Title: Solo Leveling: Arise Mobile Cup | Regions: NAW
ID: epicgames_S39_MobileSeriesMar_NAW | Title: Mobile Series | Regions: NAW
ID: epicgames_S39_MobileSeriesCupMarQual_NAW | Title: Mobile Series | Regions: NAW
ID: epicgames_S40_MobileSeriesMar_NAW | Title: Mobile Series | Regions: NAW
ID: epicgames_S40_MobileSeriesCupQual_NAW | Title: Mobile Series | Regions: NAW
ID: epicgames_S40_MobileSeriesApr_NAW | Title: Mobile Series | Regions: NAW
ID: epicgames_S40_TripleThreatMobileCup_NAW | Title: Triple Threat Mobile Cup | Regions: NAW
ID: epicgames_S40_MobileSeriesMay_NAW | Title: Mobile Series | Regions: NAW

--- Fetching tournaments for region: BR ---
Found 29 mobile-related tournaments in BR.
ID: epicgames_S37_BlitzMobileCup_BR | Title: Blitz Mobile Cup | Regions: BR
ID: epicgames_S37_BlitzMobileCupWeekly_BR | Title: Blitz Mobile Cup | Regions: BR
ID: epicgames_S37_AxeOfChampsBlitzMobileCup_BR | Title: Axe of Champions Blitz Cup (Mobile) | Regions: BR
ID: epicgames_S37_SurfWitchBlitzMobileCup_BR | Title: Champion Surf Witch FNCS Blitz Cup (Mobile) | Regions: BR
ID: epicgames_S38_TouchOnlyMobileCup_BR | Title: Touch-Only Test Cup | Regions: BR
ID: epicgames_S38_BlitzMobileCup_BR | Title: Blitz Mobile Cup | Regions: BR
ID: epicgames_S38_StrangerThingsMobileCup_BR | Title: Stranger Things Cup Blitz (Mobile) | Regions: BR
ID: epicgames_S39_BlitzMobileCupDec_BR | Title: Mobile Series | Regions: BR
ID: epicgames_S39_BlitzMobileCupDecQual_BR | Title: Mobile Series | Regions: BR
ID: epicgames_S39_MobileSeriesJan_BR | Title: Mobile Series | Regions: BR
ID: epicgames_S39_MobileSeriesCupJanQual_BR | Title: Mobile Series | Regions: BR
ID: epicgames_S39_MobileSeriesFeb_BR | Title: Mobile Series | Regions: BR
ID: epicgames_S39_MobileSeriesCupFebQual_BR | Title: Mobile Series | Regions: BR
ID: epicgames_S39_SoloLevelingMobileCup_BR | Title: Solo Leveling: Arise Mobile Cup | Regions: BR
ID: epicgames_S39_MobileSeriesMar_BR | Title: Mobile Series | Regions: BR
ID: epicgames_S39_MobileSeriesCupMarQual_BR | Title: Mobile Series | Regions: BR
ID: epicgames_S40_MobileSeriesMar_BR | Title: Mobile Series | Regions: BR
ID: epicgames_S40_MobileSeriesCupQual_BR | Title: Mobile Series | Regions: BR
ID: epicgames_S40_MobileSeriesApr_BR | Title: Mobile Series | Regions: BR
ID: epicgames_S40_TripleThreatMobileCup_BR | Title: Triple Threat Mobile Cup | Regions: BR
ID: epicgames_S40_MobileSeriesMay_BR | Title: Mobile Series | Regions: BR

--- Fetching tournaments for region: ASIA ---
Found 28 mobile-related tournaments in ASIA.
ID: epicgames_S37_BlitzMobileCup_ASIA | Title: Blitz Mobile Cup | Regions: ASIA
ID: epicgames_S37_BlitzMobileCupWeekly_ASIA | Title: Blitz Mobile Cup | Regions: ASIA
ID: epicgames_S37_AxeOfChampsBlitzMobileCup_ASIA | Title: Axe of Champions Blitz Cup (Mobile) | Regions: ASIA
ID: epicgames_S37_SurfWitchBlitzMobileCup_ASIA | Title: Champion Surf Witch FNCS Blitz Cup (Mobile) | Regions: ASIA
ID: epicgames_S38_TouchOnlyMobileCup_ASIA | Title: Touch-Only Test Cup | Regions: ASIA
ID: epicgames_S38_BlitzMobileCup_ASIA | Title: Blitz Mobile Cup | Regions: ASIA
ID: epicgames_S39_BlitzMobileCupDec_ASIA | Title: Mobile Series | Regions: ASIA
ID: epicgames_S39_BlitzMobileCupDecQual_ASIA | Title: Mobile Series | Regions: ASIA
ID: epicgames_S39_MobileSeriesJan_ASIA | Title: Mobile Series | Regions: ASIA
ID: epicgames_S39_MobileSeriesCupJanQual_ASIA | Title: Mobile Series | Regions: ASIA
ID: epicgames_S39_MobileSeriesFeb_ASIA | Title: Mobile Series | Regions: ASIA
ID: epicgames_S39_MobileSeriesCupFebQual_ASIA | Title: Mobile Series | Regions: ASIA
ID: epicgames_S39_SoloLevelingMobileCup_ASIA | Title: Solo Leveling: Arise Mobile Cup | Regions: ASIA
ID: epicgames_S39_MobileSeriesMar_ASIA | Title: Mobile Series | Regions: ASIA
ID: epicgames_S39_MobileSeriesCupMarQual_ASIA | Title: Mobile Series | Regions: ASIA
ID: epicgames_S40_MobileSeriesMar_ASIA | Title: Mobile Series | Regions: ASIA
ID: epicgames_S40_MobileSeriesCupQual_ASIA | Title: Mobile Series | Regions: ASIA
ID: epicgames_S40_MobileSeriesApr_ASIA | Title: Mobile Series | Regions: ASIA
ID: epicgames_S40_TripleThreatMobileCup_ASIA | Title: Triple Threat Mobile Cup | Regions: ASIA
ID: epicgames_S40_MobileSeriesMay_ASIA | Title: Mobile Series | Regions: ASIA

--- Fetching tournaments for region: OCE ---
Found 28 mobile-related tournaments in OCE.
ID: epicgames_S37_BlitzMobileCup_OCE | Title: Blitz Mobile Cup | Regions: OCE
ID: epicgames_S37_BlitzMobileCupWeekly_OCE | Title: Blitz Mobile Cup | Regions: OCE
ID: epicgames_S37_AxeOfChampsBlitzMobileCup_OCE | Title: Axe of Champions Blitz Cup (Mobile) | Regions: OCE
